tag,release_datetime
v1.1.2-beta,2024-05-02T09:22:28
v1.1.7-beta,2024-05-29T09:09:26
v1.2.0-beta,2024-06-11T09:08:13
v1.2.2-beta,2024-06-18T09:09:17
v1.2.3-beta,2024-06-25T09:34:14
v1.2.4-beta,2024-07-02T09:12:15
v1.2.5-beta,2024-07-09T09:15:24
v1.2.6-beta,2024-07-16T09:44:21
v1.3.0-beta,2024-07-23T09:11:47
v1.3.2-beta,2024-07-30T09:36:08
v1.3.3-beta,2024-08-06T09:12:45
v1.3.4-beta,2024-08-13T09:12:48
v1.3.5-beta,2024-08-20T09:49:28
v1.4.0-beta,2024-08-28T09:02:51
v1.4.1-beta,2024-09-03T09:32:58
v1.4.2-beta,2024-09-10T09:22:06
v1.4.3-beta,2024-09-17T09:14:20
v1.5.2-beta,2024-09-24T14:07:11
v1.5.4-beta,2024-09-25T14:03:27
v1.5.5-beta,2024-10-08T09:09:44
v1.6.0-beta,2024-10-15T09:15:38
v1.6.1-beta,2024-10-22T09:22:25
v1.7.0-beta,2024-10-29T10:32:54
v1.7.2-beta,2024-11-12T11:04:17
v1.7.3-beta,2024-11-19T10:32:56
v1.7.5-beta,2024-11-26T10:29:47
v1.7.6-beta,2024-12-03T10:37:41
v1.7.7-beta,2024-12-10T10:24:50
v1.7.9-beta,2025-01-21T10:29:13
v1.7.10-beta,2025-01-28T10:19:13
v1.7.11-beta,2025-02-11T10:34:58
v1.7.12-beta,2025-02-18T10:24:07
v1.7.13-beta,2025-02-27T10:09:07
v1.7.14-beta,2025-03-11T10:43:58
v1.7.15-beta,2025-03-18T10:12:29
v1.7.16-beta,2025-03-25T10:28:33
v1.7.17-beta,2025-04-01T09:16:36
v1.7.18-beta,2025-04-08T09:20:55
v1.7.19-beta,2025-04-15T09:29:28
v1.7.20-beta,2025-04-29T09:27:43
v1.8.0-beta,2025-05-13T09:24:32
v1.9.0-beta,2025-05-20T09:11:22
v1.9.1-beta,2025-05-20T09:30:41
v1.9.2-beta,2025-06-03T09:23:28
v1.10.0-beta,2025-06-10T09:38:53
v1.12.2-beta,2025-07-16T09:17:14
v1.12.3-beta,2025-07-22T09:43:38
v1.12.4-beta,2025-07-29T09:20:34
v1.12.6-beta,2025-08-05T09:11:55
v1.12.7-beta,2025-08-14T09:27:27
v1.13.0-beta,2025-08-19T09:30:33
v1.13.2-beta,2025-08-21T13:20:25
v1.13.3-beta,2025-08-26T14:27:05
v1.13.4-beta,2025-09-02T09:15:20
v1.13.9-beta,2025-09-03T16:15:21
v1.13.10-beta,2025-09-16T09:19:17
v1.13.11-beta,2025-09-23T09:44:54
v1.13.12-beta,2025-10-07T09:32:50
v1.13.15-beta,2025-10-09T10:40:44
v1.13.17-beta,2025-10-21T14:23:15
v1.13.19-beta,2025-10-23T14:21:12
v1.13.20-beta,2025-11-04T11:27:23
v1.13.28-beta,2025-12-02T10:17:31
v1.13.29-beta,2025-12-09T10:31:42
v1.13.30-beta,2025-12-16T10:26:23
v1.14.0-beta,2026-01-13T10:12:17
v1.14.1-beta,2026-01-20T10:24:26
v1.15.0-beta,2026-01-27T10:23:19
v1.15.1-beta,2026-02-03T10:34:43
v1.15.2-beta,2026-02-11T10:52:46
v1.15.3-beta,2026-02-17T11:52:26
v1.16.0-beta,2026-02-24T10:33:01
v1.16.1-beta,2026-03-03T10:18:32
v1.16.5-beta,2026-03-17T10:36:21
v1.16.6-beta,2026-03-23T10:34:26
v1.16.10-beta,2026-04-14T09:33:31
v1.16.11-beta,2026-04-21T09:44:19
v1.16.15-beta,2026-04-28T10:28:36
v1.16.17-beta,2026-05-05T10:03:23
