tag,release_datetime
v1.1.0-beta,2024-04-18T14:58:56
v1.1.1-beta,2024-04-23T10:00:32
v1.1.2-beta,2024-04-30T14:29:56
v1.1.4-beta,2024-05-14T08:53:16
v1.1.6-beta,2024-05-21T09:22:06
v1.1.7-beta,2024-05-23T09:08:49
v1.1.8-beta,2024-06-04T13:16:51
v1.2.0-beta,2024-06-06T14:31:56
v1.2.1-beta,2024-06-11T15:48:48
v1.2.3-beta,2024-06-20T13:04:49
v1.2.4-beta,2024-06-27T09:11:48
PR-454,2024-07-01T08:48:07
PR-454,2024-07-01T10:30:06
PR-454,2024-07-01T10:43:21
PR-454,2024-07-01T11:19:32
PR-454,2024-07-01T13:35:31
PR-454,2024-07-01T15:27:10
PR-454,2024-07-02T09:20:36
v1.2.5-beta,2024-07-04T12:09:14
v1.2.6-beta,2024-07-11T10:59:17
v1.3.0-beta,2024-07-18T09:14:15
v1.3.1-beta,2024-07-19T15:21:20
v1.3.2-beta,2024-07-25T09:02:47
v1.3.3-beta,2024-08-01T10:05:24
v1.3.4-beta,2024-08-08T09:32:43
v1.4.0-beta,2024-08-27T10:26:56
v1.4.1-beta,2024-08-29T09:25:13
v1.4.2-beta,2024-09-06T10:42:05
v1.4.3-beta,2024-09-12T10:35:50
v1.5.3-beta,2024-09-25T12:04:58
v1.5.4-beta,2024-09-25T13:27:49
v1.5.5-beta,2024-10-03T10:06:33
v1.6.0-beta,2024-10-10T09:15:21
v1.7.0-beta,2024-10-24T10:00:23
v1.7.1-beta,2024-10-31T10:38:46
v1.7.2-beta,2024-11-07T14:43:23
v1.7.3-beta,2024-11-19T10:32:41
v1.7.5-beta,2024-11-21T14:06:19
v1.7.6-beta,2024-11-28T10:49:17
v1.7.7-beta,2024-12-05T12:48:37
v1.7.8-beta,2025-01-08T19:06:52
v1.7.9-beta,2025-01-16T09:38:00
v1.7.10-beta,2025-01-24T12:57:42
v1.7.11-beta,2025-02-07T10:35:21
v1.7.12-beta,2025-02-13T09:46:17
v1.7.13-beta,2025-02-27T09:27:13
v1.7.14-beta,2025-03-06T09:00:36
v1.7.15-beta,2025-03-13T09:11:02
v1.7.16-beta,2025-03-20T09:05:59
v1.7.17-beta,2025-03-27T11:50:07
v1.7.18-beta,2025-04-03T09:59:14
v1.7.19-beta,2025-04-14T11:32:09
v1.7.20-beta,2025-04-24T10:46:06
v1.8.0-beta,2025-05-08T14:35:28
v1.9.0-beta,2025-05-13T11:04:41
v1.9.1-beta,2025-05-15T15:39:59
v1.9.2-beta,2025-05-29T11:59:57
v1.10.0-beta,2025-06-09T11:37:19
v1.11.0-beta,2025-06-13T09:41:28
v1.12.0-beta,2025-06-18T07:26:39
v1.12.1-beta,2025-07-07T13:13:18
v1.12.2-beta,2025-07-14T08:39:03
v1.12.3-beta,2025-07-17T08:56:03
v1.12.4-beta,2025-07-23T15:22:53
v1.12.5-beta,2025-07-24T14:40:19
v1.12.6-beta,2025-07-31T10:18:36
v1.12.7-beta,2025-08-08T12:21:29
v1.12.8-beta,2025-08-13T23:02:33
v1.13.0-beta,2025-08-18T10:32:22
aea000-notification-table-index-scaling,2025-08-20T07:56:13
v1.13.1-beta,2025-08-20T08:58:07
aea000-notification-table-index-scaling,2025-08-20T10:12:54
aea000-notification-table-index-scaling,2025-08-20T11:25:46
v1.13.2-beta,2025-08-21T09:39:09
v1.13.3-beta,2025-08-26T13:40:10
v1.13.4-beta,2025-08-27T11:33:31
v1.13.5-beta,2025-08-27T18:10:37
v1.13.6-beta,2025-08-28T15:11:50
v1.13.7-beta,2025-09-01T12:32:16
v1.13.8-beta,2025-09-02T08:05:37
v1.13.9-beta,2025-09-03T12:28:23
v1.13.10-beta,2025-09-10T16:09:21
v1.13.11-beta,2025-09-17T12:06:19
v1.13.12-beta,2025-10-01T12:16:12
v1.13.14-beta,2025-10-09T09:21:56
v1.13.15-beta,2025-10-09T10:15:32
v1.13.17-beta,2025-10-16T13:40:48
v1.13.19-beta,2025-10-23T10:31:47
v1.13.20-beta,2025-10-29T13:52:09
v1.13.21-beta,2025-10-30T12:50:57
v1.13.22-beta,2025-11-05T13:17:33
v1.13.23-beta,2025-11-13T09:55:13
v1.13.28-beta,2025-11-28T13:04:24
v1.13.29-beta,2025-12-03T15:22:37
v1.13.30-beta,2025-12-10T10:54:20
v1.14.0-beta,2026-01-07T14:56:09
v1.14.1-beta,2026-01-14T15:05:29
v1.15.0-beta,2026-01-21T12:07:45
v1.15.1-beta,2026-01-28T17:39:27
v1.15.2-beta,2026-02-04T16:33:54
v1.15.3-beta,2026-02-12T10:26:05
v1.16.0-beta,2026-02-19T09:56:28
v1.16.1-beta,2026-02-25T13:08:09
v1.16.2-beta,2026-03-06T09:38:33
v1.16.3-beta,2026-03-10T12:58:05
v1.16.4-beta,2026-03-12T10:42:04
v1.16.5-beta,2026-03-13T10:24:15
v1.16.6-beta,2026-03-19T18:27:55
v1.16.7-beta,2026-03-26T11:44:17
v1.16.8-beta,2026-03-26T15:23:23
v1.16.9-beta,2026-03-30T10:57:03
v1.16.10-beta,2026-04-08T15:14:03
v1.16.11-beta,2026-04-13T17:32:10
v1.16.14-beta,2026-04-23T13:05:57
v1.16.15-beta,2026-04-24T08:46:12
v1.16.16-beta,2026-04-28T14:01:25
v1.16.17-beta,2026-04-30T10:13:59
v1.16.18-beta,2026-05-05T13:54:06
